NULL,CRIME,Heat,B,,170,Heat.jpg,0,NULL,NULL
NULL,HIST,The Patriot,B,Extended Cut,175,The Patriot.jpg,0,NULL,NULL
NULL,HIST,The Passion of the Christ,B,2 Disc Definitive Editition,126,The Passion of the Christ.jpg,0,NULL,NULL
NULL,WAR,Downfall,B,,149,Downfall.jpg,0,NULL,NULL
NULL,CRIME,The Untouchables,B,Special Collector's Edition,114,The Untouchables.jpg,0,NULL,NULL
NULL,HIST,Kingdom of heaven,B,Director's Cut,189,Kingdom of Heaven.jpg,0,NULL,NULL
NULL,HIST,Gladiator,B,2 Disc Special Edition,170,Gladiator.jpg,0,NULL,NULL
NULL,CRIME,The Departed,B,,151,The Departed.jpg,0,NULL,NULL
NULL,DRAMA,In the Name of the Father,B,,133,In the Name of the Father.jpg,0,NULL,NULL
NULL,WAR,We Were Soldiers,B,,133,We Were Soldiers.jpg,0,NULL,NULL
NULL,THRIL,Clear and Present Danger,B,,141,Clear and Present Danger.jpg,0,NULL,NULL
NULL,WAR,Platoon,B,,114,Platoon.jpg,0,NULL,NULL
NULL,WAR,Saving Private Ryan,B,2 Disc Special Edition,169,Saving Private Ryan.jpg,0,NULL,NULL
NULL,HORR,28 Days Later,B,,108,28 Days and Weeks Later.jpg,0,NULL,NULL
NULL,HORR,28 Weeks Later,B,,95,28 Days and Weeks Later.jpg,0,NULL,NULL
NULL,DRAMA,L.A. Confidential,B,,138,L.A. Confidential.jpg,0,NULL,NULL
NULL,CRIME,Gangs of New York,B,,166,Gangs of New York.jpg,0,NULL,NULL
NULL,CRIME,Casino,B,,179,Casino.jpg,0,NULL,NULL
NULL,HIST,Robin Hood,B,Directors Cut,149,Robin Hood.jpg,0,NULL,NULL
NULL,ADVNT,Lord of the Rings I: The Fellowship of the Rings,B,Extended Edition,228,The Lord of the Rings.jpg,0,NULL,NULL
NULL,ADVNT,Lord of the Rings II: The Two Towers,B,Extended Edition,235,The Lord of the Rings.jpg,0,NULL,NULL
NULL,ADVNT,Lord of the Rings III: Return of the King,B,Extended Edition,263,The Lord of the Rings.jpg,0,NULL,NULL
NULL,ADVNT,Hobbit I: Hobbit,B,Extended Edition,182,Hobbit,0,NULL,NULL
NULL,ADVNT,Hobbit II: The Desolation of Smaug,B,Extended Edition,186,Hobbit,0,NULL,NULL
NULL,ADVNT,Hobbit III: The Battle of the Five Armies,B,Extended Edition,164,Hobbit,0,NULL,NULL
NULL,CRIME,The Godfather Part I,B,The Coppola Restoration,177,The Godfather.jpg,0,NULL,NULL
NULL,CRIME,The Godfather Part II,B,The Coppola Restoration,202,The Godfather.jpg,0,NULL,NULL
NULL,CRIME,The Godfather Part III,B,The Coppola Restoration,170,The Godfather.jpg,0,NULL,NULL
NULL,ADVNT,The Da Vinci Code,B,Extended Cut,174,The Da Vinci Code.jpg,0,NULL,NULL
NULL,ADVNT,Angels & Demons,B,,140,Angels & Demons.jpg,0,NULL,NULL
NULL,ACTN,The Dark Knight Trilogy: Batman Begins,B,,140,Batman Begins,0,NULL,NULL
NULL,ACTN,The Dark Knight Trilogy: The Dark Knight,B,Two-Disc Special Edition,153,The Dark Knight,0,NULL,NULL
NULL,ACTN,The Dark Knight Trilogy: The Dark Knight Rises,B,,164,The Dark Knight Rises,0,NULL,NULL
NULL,THRIL,The Hunt for the Red October,B,,135,The Hunt for the Red October,0,NULL,NULL
NULL,CRIME,Carlito's Way,B,,144,Carlito's Way,0,NULL,NULL
NULL,CRIME,Scarface,B,,170,Scarface,0,NULL,NULL
NULL,ADVNT,Robin Hood Prince of Thieves,B,,155,Robin Hood Prince of Thieves,0,NULL,NULL
NULL,THRIL,JFK,B,Director's Cut,205,JFK,0,NULL,NULL
